movie_title,genres,tomatometer_rating,predicted_y,predicted_y_string,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentar,IMAX,Western,Film-Noir,(no genre listed)
Moonlight,"Drama, Mystery & Suspense",60,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Aliens,"Action & Adventure, Horror, Science Fiction & Fantasy",97,1,Certified Fresh,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Rise: Blood Hunter,"Horror, Mystery & Suspense",36,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
All About Eve,"Classics, Drama",99,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
When Do We Eat?,Comedy,42,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mostly Unfabulous Social Life of Ethan Green,"Comedy, Drama",30,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirty,Drama,21,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stay Alive,"Horror, Mystery & Suspense",10,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
All of Me,"Comedy, Science Fiction & Fantasy",85,1,Certified Fresh,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
All Quiet on the Western Front,Drama,100,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreamland,"Art House & International, Drama",67,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Lens,"Documentary, Special Interest",84,1,Certified Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
All the King's Men,"Classics, Drama",95,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Street Fight,"Documentary, Special Interest",100,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lost Horizon,"Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy",20,-1,Rotten,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
The Motel,"Comedy, Drama",88,0,Fresh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary, Sports & Fitness",81,1,Certified Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Requiem,"Art House & International, Drama, Horror, Mystery & Suspense",86,0,Fresh,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Gui si (Silk),"Art House & International, Horror, Mystery & Suspense",40,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Park,"Art House & International, Comedy, Drama",36,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The 4th Dimension,"Drama, Science Fiction & Fantasy",63,0,Fresh,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bon Cop, Bad Cop","Action & Adventure, Comedy",78,0,Fresh,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amazing Grace,"Drama, Mystery & Suspense",67,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Silence,"Action & Adventure, Drama, Mystery & Suspense, Television",50,-1,Rotten,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Cocaine Cowboys,Documentary,69,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gone,"Horror, Mystery & Suspense",54,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
The Situation,"Drama, Mystery & Suspense",35,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Snow Blind,"Documentary, Sports & Fitness",20,-1,Rotten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Four Sheets to the Wind,"Art House & International, Drama",100,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tiger's Tail,"Comedy, Drama, Mystery & Suspense",14,-1,Rotten,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
It's a Boy Girl Thing,"Comedy, Romance",67,0,Fresh,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slipstream,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",25,-1,Rotten,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Delirious,"Comedy, Drama",83,1,Certified Fresh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview,"Art House & International, Drama",58,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
American Anthem,"Action & Adventure, Documentary, Drama",0,-1,Rotten,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
The Ten,Comedy,35,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Happening,"Drama, Mystery & Suspense, Science Fiction & Fantasy",17,-1,Rotten,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Molière,Comedy,69,0,Fresh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straightheads (Closure),"Drama, Mystery & Suspense",40,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Borderland,"Drama, Horror, Mystery & Suspense",100,0,Fresh,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Spiral,"Drama, Mystery & Suspense",55,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Alexandra,Drama,88,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood and Tears: The Arab-Israeli Conflict,Documentary,50,-1,Rotten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Cool School,"Documentary, Musical & Performing Arts",92,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Pathology,"Drama, Mystery & Suspense",45,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Disney's A Christmas Carol,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",52,-1,Rotten,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Deep Water,"Documentary, Special Interest",96,1,Certified Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Road to Victory,"Art House & International, Drama, Sports & Fitness",78,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Hills Chihuahua,Comedy,40,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fireflies in the Garden,Drama,22,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Eye,"Drama, Horror, Mystery & Suspense",21,-1,Rotten,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Day of the Dead,"Horror, Mystery & Suspense",13,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
My Best Friend's Girl,"Comedy, Drama",14,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Burrowers,"Horror, Mystery & Suspense, Western",75,0,Fresh,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
The Midnight Meat Train,"Drama, Horror, Mystery & Suspense",73,0,Fresh,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
The Lucky Ones,"Comedy, Drama",37,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Run Fatboy Run,Comedy,47,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closing Escrow,Comedy,54,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiteout,"Action & Adventure, Drama, Mystery & Suspense",7,-1,Rotten,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Randy and the Mob,"Comedy, Documentary",56,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Irish,Drama,31,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Child,Comedy,41,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powder Blue,Drama,25,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
King Corn,"Documentary, Musical & Performing Arts, Special Interest",96,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
L' Avocat de la Terreur (Terror's Advocate),"Art House & International, Documentary, Special Interest",87,1,Certified Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Darfur Now,"Documentary, Drama, Musical & Performing Arts, Special Interest",73,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Laaga Chunari Mein Daag - Journey of a Woman,"Art House & International, Drama",50,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rails & Ties,Drama,34,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Untouchable,Documentary,73,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
House,"Drama, Horror, Mystery & Suspense",0,-1,Rotten,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Canvas,Drama,78,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Skid Row,"Documentary, Special Interest",83,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Saawariya,"Art House & International, Drama, Musical & Performing Arts, Romance",38,-1,Rotten,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Aaja Nachle,"Art House & International, Drama, Musical & Performing Arts, Romance",67,0,Fresh,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Flawless,"Drama, Mystery & Suspense",55,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
What Happens in Vegas,"Comedy, Romance",26,-1,Rotten,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appaloosa,"Action & Adventure, Western",76,1,Certified Fresh,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Good,Drama,32,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Visitor,Drama,89,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet Bill,Comedy,20,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Married Life,"Comedy, Drama, Mystery & Suspense, Romance",54,-1,Rotten,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Badland,Drama,16,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Oxford Murders,"Art House & International, Drama, Horror, Mystery & Suspense",17,-1,Rotten,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Untraceable,"Drama, Horror, Mystery & Suspense",16,-1,Rotten,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
The Informers,"Drama, Mystery & Suspense",12,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Meeting Resistance,"Documentary, Special Interest",82,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Freshman,"Comedy, Drama",94,1,Certified Fresh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guta-yubalja-deul (A Bloody Aria),"Art House & International, Drama, Mystery & Suspense",42,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Kenny,Comedy,100,0,Fresh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rocker,"Comedy, Drama",41,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Perfect Holiday,"Kids & Family, Romance",19,-1,Rotten,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Graine et le Mulet (The Secret of the Grain) (Couscous),"Art House & International, Drama",93,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Land of the Lost,"Action & Adventure, Comedy, Science Fiction & Fantasy",26,-1,Rotten,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
[Rec],"Art House & International, Horror, Special Interest",89,0,Fresh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Look,"Comedy, Drama",60,0,Fresh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
And God Created Woman,"Classics, Comedy, Drama, Romance",38,-1,Rotten,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Box,"Horror, Mystery & Suspense, Science Fiction & Fantasy",44,-1,Rotten,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Man in the Chair,"Comedy, Drama",50,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Undoing,"Drama, Mystery & Suspense",31,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Black Water,"Horror, Mystery & Suspense",80,0,Fresh,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
21,"Drama, Mystery & Suspense",35,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),"Art House & International, Drama, Romance",70,0,Fresh,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben X,"Art House & International, Drama, Mystery & Suspense",68,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Body of Lies,"Drama, Mystery & Suspense",55,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Passengers,"Drama, Mystery & Suspense",19,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Grand,Comedy,40,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hammer,Comedy,80,1,Certified Fresh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shutter,"Horror, Mystery & Suspense",9,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Priest,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",15,-1,Rotten,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
The Broken,"Horror, Mystery & Suspense",49,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
The Escapist,"Art House & International, Mystery & Suspense",64,0,Fresh,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Sugar,"Drama, Sports & Fitness",92,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quid Pro Quo,"Drama, Mystery & Suspense",61,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Red,"Drama, Mystery & Suspense",70,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Guitar,Drama,33,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Road,"Drama, Mystery & Suspense, Science Fiction & Fantasy",73,1,Certified Fresh,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
G-Force,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",22,-1,Rotten,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Other Man,Drama,15,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Duchess,Drama,62,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Women,"Comedy, Drama",14,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Enemies,"Action & Adventure, Drama",68,0,Fresh,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Night and Day (Bam gua nat),"Art House & International, Drama",93,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Julia,"Art House & International, Drama, Mystery & Suspense",72,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Angel and the Badman,"Classics, Western, Romance",71,0,Fresh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fade to Black,Mystery & Suspense,29,-1,Rotten,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Angel Heart,"Drama, Mystery & Suspense",79,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Old Dogs,"Comedy, Drama, Kids & Family",5,-1,Rotten,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrogates,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",37,-1,Rotten,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
The Promotion,Comedy,53,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notorious,"Drama, Musical & Performing Arts",52,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Soul Men,"Comedy, Musical & Performing Arts",46,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Igor,"Animation, Comedy, Kids & Family",39,-1,Rotten,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Matador,"Documentary, Special Interest",73,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Auteur,Comedy,67,0,Fresh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Caller,"Drama, Mystery & Suspense",13,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Sin Nombre,"Drama, Mystery & Suspense",88,1,Certified Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),"Art House & International, Drama",28,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Stone Angel,Drama,44,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin and the Chipmunks: The Squeakquel,"Animation, Comedy, Kids & Family",20,-1,Rotten,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un Conte de Noël (A Christmas Tale),"Art House & International, Comedy, Drama",86,1,Certified Fresh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
